Name,Language,Stars,Forks,Owner,Created At
tantivy,Rust,15453,932,quickwit-oss,2016-01-11T08:32:16Z
monolith,Rust,15296,460,Y2Z,2017-02-20T07:47:35Z
py-spy,Rust,15292,529,benfred,2018-08-01T02:22:15Z
cargo,Rust,15152,2956,rust-lang,2014-03-04T23:20:42Z
neovide,Rust,15081,619,neovide,2019-12-06T20:51:39Z
solana,Rust,14920,5719,solana-labs,2018-02-14T04:26:27Z
ast-grep,Rust,14794,397,ast-grep,2022-07-01T19:21:00Z
komorebi,Rust,14790,333,LGUG2Z,2021-07-29T23:20:15Z
rust-raspberrypi-OS-tutorials,Rust,14686,875,rust-embedded,2018-03-31T17:08:56Z
RustTraining,Rust,14646,1148,microsoft,2026-03-13T04:25:17Z
static-analysis,Rust,14644,1483,analysis-tools-dev,2015-12-18T16:58:30Z
tokei,Rust,14609,689,XAMPPRocky,2015-05-26T20:55:45Z
rust-by-practice,Rust,14601,1187,sunface,2018-04-18T02:13:19Z
lemmy,Rust,14457,955,LemmyNet,2019-02-14T17:17:17Z
edit,Rust,14337,703,microsoft,2025-03-21T18:58:21Z
ZLUDA,Rust,14321,913,vosen,2020-01-05T18:26:03Z
rye,Rust,14209,470,astral-sh,2023-04-22T22:23:54Z
diesel,Rust,14105,1217,diesel-rs,2015-08-29T22:51:00Z
binwalk,Rust,14072,1810,ReFirmLabs,2013-11-15T20:45:40Z
espanso,Rust,13993,423,espanso,2019-08-30T07:16:58Z
rathole,Rust,13812,788,rathole-org,2021-12-14T05:03:07Z
rolldown,Rust,13801,800,rolldown,2023-09-18T14:20:28Z
bottom,Rust,13630,355,ClementTsang,2019-08-28T23:43:30Z
stalwart,Rust,13313,789,stalwartlabs,2023-03-06T13:37:23Z
rust-clippy,Rust,13312,2054,rust-lang,2014-11-19T07:49:21Z
rayon,Rust,13096,592,rayon-rs,2014-10-02T15:38:05Z
dbt-core,Rust,13056,2428,dbt-labs,2016-03-10T02:38:00Z
clash-nyanpasu,Rust,13049,796,libnyanpasu,2023-11-10T01:25:55Z
volta,Rust,13017,335,volta-cli,2017-09-25T20:06:43Z
meetily,Rust,12901,1394,Zackriya-Solutions,2024-12-26T12:52:14Z
rspack,Rust,12778,815,web-infra-dev,2022-04-01T08:45:30Z
broot,Rust,12772,296,Canop,2018-11-15T20:09:19Z
gping,Rust,12532,361,orf,2015-10-17T14:34:25Z
eww,Rust,12521,529,elkowar,2020-09-19T20:07:39Z
ironclaw,Rust,12476,1463,nearai,2026-02-03T06:57:10Z
windows-rs,Rust,12445,632,microsoft,2019-09-12T17:03:25Z
grpc-rust,Rust,12339,1227,grpc,2019-08-09T17:59:37Z
glazewm,Rust,12320,391,glzr-io,2020-06-28T10:28:26Z
EasyTier,Rust,12135,1198,EasyTier,2023-09-29T17:03:53Z
genact,Rust,12105,492,svenstaro,2011-02-09T08:11:05Z
cockpit-tools,Rust,12068,1122,jlcodes99,2026-01-16T07:09:32Z
git-cliff,Rust,11973,302,orhun,2021-05-30T11:11:58Z
onefetch,Rust,11934,317,o2sh,2018-09-14T18:51:00Z
gpui-component,Rust,11900,681,longbridge,2024-06-13T13:45:39Z
dust,Rust,11876,273,bootandy,2018-03-16T19:49:52Z
hexyl,Rust,10206,264,sharkdp,2018-11-05T22:53:35Z
SecLists,PHP,71756,25041,danielmiessler,2012-02-19T01:30:18Z
coolify,PHP,57398,4835,coollabsio,2021-01-25T20:54:01Z
server,PHP,35926,5024,nextcloud,2016-06-02T07:44:14Z
framework,PHP,34790,11887,laravel,2013-01-10T21:27:28Z
filament,PHP,31241,4181,filamentphp,2020-03-19T00:19:18Z
symfony,PHP,31093,9836,symfony,2010-01-04T14:21:21Z
jQuery-File-Upload,PHP,30744,7774,blueimp,2010-12-01T15:35:32Z
composer,PHP,29477,4804,composer,2011-06-08T08:53:00Z
bagisto,PHP,27475,3169,bagisto,2018-09-10T09:12:41Z
Faker,PHP,26675,3586,fzaninotto,2011-10-14T22:49:02Z
monica,PHP,24801,2528,monicahq,2017-02-17T00:02:58Z
firefly-iii,PHP,23818,2195,firefly-iii,2014-06-28T07:37:32Z
livewire,PHP,23540,1737,livewire,2019-02-12T16:53:29Z
guzzle,PHP,23457,2390,guzzle,2011-02-28T02:44:05Z
PHPMailer,PHP,22209,9826,PHPMailer,2011-08-23T07:57:17Z
DesignPatternsPHP,PHP,22188,4524,DesignPatternsPHP,2011-08-22T05:24:31Z
matomo,PHP,21635,2863,matomo-org,2011-03-30T21:18:17Z
monolog,PHP,21393,1905,Seldaek,2011-02-17T02:07:15Z
WordPress,PHP,21226,12938,WordPress,2011-12-01T07:05:17Z
phpunit,PHP,20039,2225,sebastianbergmann,2009-12-24T13:16:23Z
laravel-debugbar,PHP,19254,1609,fruitcake,2013-09-05T10:26:54Z
BookStack,PHP,18853,2398,BookStackApp,2015-08-29T10:26:44Z
howto-make-more-money,PHP,18582,1840,easychen,2016-03-13T12:22:03Z
CodeIgniter,PHP,18171,7561,bcit-ci,2011-08-19T13:34:00Z
PHP-Parser,PHP,17442,1123,nikic,2011-04-18T17:03:47Z
koel,PHP,17174,2101,koel,2015-12-06T12:13:19Z
Carbon,PHP,16614,1290,briannesbitt,2012-09-08T02:56:20Z
flarum,PHP,16332,1671,flarum,2014-12-30T11:13:08Z
opc-methodology,PHP,16103,1847,easychen,2024-03-27T09:41:20Z
grav,PHP,15543,1411,getgrav,2014-08-02T18:29:10Z
FreshRSS,PHP,15392,1208,FreshRSS,2012-10-21T16:48:50Z
cachet,PHP,15105,1619,cachethq,2014-11-16T22:23:11Z
parsedown,PHP,15053,1141,erusev,2013-07-10T20:23:25Z
laravel-ide-helper,PHP,14938,1190,barryvdh,2013-03-10T00:12:55Z
image,PHP,14347,1492,Intervention,2013-01-19T15:05:32Z
yii2,PHP,14292,6784,yiisoft,2012-02-13T15:32:36Z
phpstan,PHP,14010,951,phpstan,2016-01-04T18:22:16Z
snipe-it,PHP,13976,3866,grokability,2013-11-12T22:25:47Z
PhpSpreadsheet,PHP,13936,3620,PHPOffice,2016-06-19T16:58:48Z
QloApps,PHP,13826,767,Qloapps,2015-11-02T17:16:28Z
flysystem,PHP,13572,854,thephpleague,2013-10-27T11:07:22Z
phpdotenv,PHP,13539,659,vlucas,2013-01-23T06:57:12Z
PHP-CS-Fixer,PHP,13532,1632,PHP-CS-Fixer,2012-05-16T06:42:23Z
DVWA,PHP,13274,4945,digininja,2013-05-01T13:03:10Z
whoops,PHP,13237,600,filp,2013-03-11T16:58:27Z
sage,PHP,13229,3014,roots,2011-01-29T03:12:09Z
